GameDate,location,team,city,state,OffenseTeam,year,month,day,rain,snow
2015-12-06,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2015,12,06,1,0
2015-12-06,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2015,12,06,1,0
2015-12-06,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2015,12,06,0,0
2015-12-06,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015,12,06,0,0
2015-12-06,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015,12,06,0,0
2015-12-06,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2015,12,06,0,0
2015-12-06,New England Patriots,New England Patriots,Foxboro,MA,NE,2015,12,06,0,0
2015-12-06,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2015,12,06,0,0
2015-12-07,Washington Redskins,Washington Redskins,Landover,MD,WAS,2015,12,07,0,0
2015-12-10,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2015,12,10,0,0
2016-01-03,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2016,01,03,0,1
2016-01-03,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2016,01,03,0,0
2016-01-03,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2016,01,03,1,0
2016-01-03,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2016,01,03,0,1
2016-01-03,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2016,01,03,0,0
2016-01-03,Denver Broncos,Denver Broncos,Denver,CO,DEN,2016,01,03,0,0
2016-01-03,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2016,01,03,0,0
2016-01-03,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2016,01,03,1,0
2016-01-03,Houston Texans,Houston Texans,Houston,TX,HOU,2016,01,03,0,0
2016-01-03,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2016,01,03,0,0
