dates,location,team
23/11/14,Atlanta Falcons,Atlanta Falcons
23/11/14,Chicago Bears,Chicago Bears
23/11/14,San Diego Chargers,San Diego Chargers
23/11/14,New England Patriots,New England Patriots
23/11/14,Denver Broncos,Denver Broncos
23/11/14,New York Giants,New York Giants
23/11/14,Philadelphia Eagles,Philadelphia Eagles
23/11/14,San Francisco 49ers,San Francisco 49ers
23/11/14,Houston Texans,Houston Texans
23/11/14,Seattle Seahawks,Seattle Seahawks
23/11/14,Minnesota Vikings,Minnesota Vikings
24/11/14,New Orleans Saints,New Orleans Saints
24/11/14,Buffalo Bills,Buffalo Bills
27/11/14,Detroit Lions,Detroit Lions
27/11/14,San Francisco 49ers,San Francisco 49ers
27/11/14,Dallas Cowboys,Dallas Cowboys
30/11/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers
30/11/14,Pittsburgh Steelers,Pittsburgh Steelers
30/11/14,Jacksonville Jaguars,Jacksonville Jaguars
30/11/14,Houston Texans,Houston Texans
30/11/14,Buffalo Bills,Buffalo Bills
30/11/14,Indianapolis Colts,Indianapolis Colts
30/11/14,Atlanta Falcons,Atlanta Falcons
30/11/14,St. Louis Rams,St. Louis Rams
30/11/14,Baltimore Ravens,Baltimore Ravens
30/11/14,Minnesota Vikings,Minnesota Vikings
30/11/14,Green Bay Packers,Green Bay Packers
30/11/14,Kansas City Chiefs,Kansas City Chiefs
1/12/14,New York Jets,New York Jets
4/12/14,Chicago Bears,Chicago Bears
7/12/14,Minnesota Vikings,Minnesota Vikings
7/12/14,Denver Broncos,Denver Broncos
7/12/14,Washington Redskins,Washington Redskins
7/12/14,San Diego Chargers,San Diego Chargers
7/12/14,Detroit Lions,Detroit Lions
7/12/14,Arizona Cardinals,Arizona Cardinals
7/12/14,Philadelphia Eagles,Philadelphia Eagles
7/12/14,Cincinnati Bengals,Cincinnati Bengals
7/12/14,Cleveland Browns,Cleveland Browns
7/12/14,Oakland Raiders,Oakland Raiders
7/12/14,New Orleans Saints,New Orleans Saints
7/12/14,Jacksonville Jaguars,Jacksonville Jaguars
7/12/14,Tennessee Titans,Tennessee Titans
7/12/14,Miami Dolphins,Miami Dolphins
8/12/14,Green Bay Packers,Green Bay Packers
11/12/14,St. Louis Rams,St. Louis Rams
14/12/14,Cleveland Browns,Cleveland Browns
14/12/14,Seattle Seahawks,Seattle Seahawks
14/12/14,New York Giants,New York Giants
14/12/14,Philadelphia Eagles,Philadelphia Eagles
14/12/14,Tennessee Titans,Tennessee Titans
14/12/14,San Diego Chargers,San Diego Chargers
14/12/14,Kansas City Chiefs,Kansas City Chiefs
14/12/14,Carolina Panthers,Carolina Panthers
14/12/14,New England Patriots,New England Patriots
14/12/14,Buffalo Bills,Buffalo Bills
14/12/14,Baltimore Ravens,Baltimore Ravens
14/12/14,Indianapolis Colts,Indianapolis Colts
14/12/14,Atlanta Falcons,Atlanta Falcons
14/12/14,Detroit Lions,Detroit Lions
15/12/14,Chicago Bears,Chicago Bears
18/12/14,Jacksonville Jaguars,Jacksonville Jaguars
20/12/14,Washington Redskins,Washington Redskins
20/12/14,San Francisco 49ers,San Francisco 49ers
21/12/14,Carolina Panthers,Carolina Panthers
21/12/14,Oakland Raiders,Oakland Raiders
21/12/14,Dallas Cowboys,Dallas Cowboys
21/12/14,Pittsburgh Steelers,Pittsburgh Steelers
21/12/14,Houston Texans,Houston Texans
21/12/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers
21/12/14,Arizona Cardinals,Arizona Cardinals
21/12/14,Miami Dolphins,Miami Dolphins
21/12/14,New Orleans Saints,New Orleans Saints
